compound_name	SMILES	corrected_SMILES	formula	neutralized_formula	exact_mass
d22-ursodeoxycholic_acid	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H](/C(C)=C/CC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H](/C(C)=C/CC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@@]([H])2C1	C24H38O4	C24H38O4	390.27700970302
7-keto-lithocholic_acid	O[C@@H](C[C@@](C1)2[H])CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])C1=O	O[C@@H](C[C@@](C1)2[H])CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])C1=O	C24H38O4	C24H38O4	390.27700970302
cholic_acid	C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	C24H40O5	C24H40O5	408.28757438705
chenodeoxycholic_acid	C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	C24H40O4	C24H40O4	392.29265976748
lithocholic_acid	O=C(O)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]4[C@H]2CC[C@@H]3C[C@H](O)CC[C@@]34C)C	O=C(O)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]4[C@H]2CC[C@@H]3C[C@H](O)CC[C@@]34C)C	C24H40O3	C24H40O3	376.29774514791
deoxycholic_acid	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1	C24H40O4	C24H40O4	392.29265976748
3a,12a,7-methyl-dihydroxy-5b-cholanoic_acid	OC(CC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])C(C)CC4C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)=O	OC(CC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])C(C)CC4C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)=O	C25H42O4	C25H42O4	406.30830983194
3a,12a-7-oac-dihydroxy-5b-cholanoic_acid	OC(CC[C@H]([C@H]1CC[C@@]2([H])[C@]3([H])[C@H](OC(C)=O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)C)=O	OC(CC[C@H]([C@H]1CC[C@@]2([H])[C@]3([H])[C@H](OC(C)=O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)C)=O	C26H42O6	C26H42O6	450.29813907108
6-keto-lithocholic_acid	C[C@@H]([C@H]1CC[C@@]2([H])[C@]3([H])CC([C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)=O)CCC(O)=O	C[C@@H]([C@H]1CC[C@@]2([H])[C@]3([H])CC([C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)=O)CCC(O)=O	C24H38O4	C24H38O4	390.27700970302
c22-3a,7b	OC([C@H]([C@H]1CC[C@]2([C@@]3([C@H](C[C@@]4(C[C@@H](CC[C@@]4([C@]3(CC[C@]12C)[H])C)O)[H])O)[H])[H])C)=O	OC([C@H]([C@H]1CC[C@]2([C@@]3([C@H](C[C@@]4(C[C@@H](CC[C@@]4([C@]3(CC[C@]12C)[H])C)O)[H])O)[H])[H])C)=O	C22H36O4	C22H36O4	364.26135963856
12-keto-ursodeoxycholic_acid	O[C@@H](C[C@@](C[C@@H]([C@@]1([H])[C@]2([H])CC[C@@H]([C@]23C)[C@H](C)CCC(O)=O)O)4[H])CC[C@]4(C)[C@@]1([H])CC3=O	O[C@@H](C[C@@](C[C@@H]([C@@]1([H])[C@]2([H])CC[C@@H]([C@]23C)[C@H](C)CCC(O)=O)O)4[H])CC[C@]4(C)[C@@]1([H])CC3=O	C24H38O5	C24H38O5	406.27192432259
c25-homo-3-alpha-12-alpha	O[C@@H]1CC[C@@]2([C@]3(C[C@H](O)[C@@]4([C@H](CC[C@]4([C@@]3(CC[C@@]2(C1)[H])[H])[H])[C@@H](CCCC(O)=O)C)C)[H])C	O[C@@H]1CC[C@@]2([C@]3(C[C@H](O)[C@@]4([C@H](CC[C@]4([C@@]3(CC[C@@]2(C1)[H])[H])[H])[C@@H](CCCC(O)=O)C)C)[H])C	C25H42O4	C25H42O4	406.30830983194
23-ethyl-lithocholic_acid	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CC(CC)C(O)=O)CC[C@@]4([H])[C@]3([H])CCC2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CC(CC)C(O)=O)CC[C@@]4([H])[C@]3([H])CCC2C1	C26H44O3	C26H44O3	404.32904527683
3a-hydroxy-5b-cholanoic_acid	[H][C@@]12CCCC[C@]1(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])CC2	[H][C@@]12CCCC[C@]1(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])CC2	C24H40O3	C24H40O3	376.29774514791
7b-methyl-cholic_acid	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@](O)(C)C[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@](O)(C)C[C@@]([H])2C1	C25H42O5	C25H42O5	422.30322445151
c22-3-alpha-7-alpha	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)C(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)C(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	C22H36O4	C22H36O4	364.26135963856
homocholic_acid	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	C25H42O5	C25H42O5	422.30322445151
c22-bisnor_3alpha-7alpha-12alpha	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)C(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)C(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	C22H36O5	C22H36O5	380.25627425813
3a_12a_delta_8-14	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])C=C[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])C=C[C@@]([H])2C1	C24H38O4	C24H38O4	390.27700970302
12-keto-chenodeoxycholic_acid	O[C@@H](CC1C[C@H]([C@@]2([H])[C@]3([H])CC[C@@H]([C@]34C)[C@H](C)CCC(O)=O)O)CC[C@]1(C)[C@@]2([H])CC4=O	O[C@@H](CC1C[C@H]([C@@]2([H])[C@]3([H])CC[C@@H]([C@]34C)[C@H](C)CCC(O)=O)O)CC[C@]1(C)[C@@]2([H])CC4=O	C24H38O5	C24H38O5	406.27192432259
c23-3a,7a	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CC(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)CC2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CC(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)CC2C1	C23H38O4	C23H38O4	378.27700970302
3a,7a,12a-c23-amine	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCN)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCN)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	C23H41NO3	C23H41NO3	379.30864418456997
3a,7b,7a-methyl-dihydroxy-5b-cholanoic_acid	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@](C)(O)CC2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@](C)(O)CC2C1	C25H42O4	C25H42O4	406.30830983194
c23-nor-3a,6b	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CC(O)=O)CC[C@@]4([H])[C@]3([H])C[C@@H](O)[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CC(O)=O)CC[C@@]4([H])[C@]3([H])C[C@@H](O)[C@@]([H])2C1	C23H38O4	C23H38O4	378.27700970302
c23-nor-3a,7a,12a	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CC(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CC(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	C23H38O5	C23H38O5	394.27192432259
7-keto-deoxycholic_acid	O[C@@H](C[C@@](C1)2[H])CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])C1=O	O[C@@H](C[C@@](C1)2[H])CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])C1=O	C24H38O5	C24H38O5	406.27192432259
c23-nor-3a,7k,12a-cholic_acid	O[C@@H](C[C@@](C1)2[H])CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CC(O)=O)CC[C@@]4([H])[C@]3([H])C1=O	O[C@@H](C[C@@](C1)2[H])CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CC(O)=O)CC[C@@]4([H])[C@]3([H])C1=O	C23H36O5	C23H36O5	392.25627425813
c23-3a,12a-cholic_acid	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CC(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CC(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1	C23H38O4	C23H38O4	378.27700970302
c23-3a,7b-cholic_acid	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@@]([H])2C1	C23H38O4	C23H38O4	378.27700970302
3a,6a,7k-cholic_acid	O[C@@H](C[C@@]([C@H]1O)2[H])CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])C1=O	O[C@@H](C[C@@]([C@H]1O)2[H])CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])C1=O	C24H38O5	C24H38O5	406.27192432259
c23-3a-cholic_acid	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CC(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CC(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1	C23H38O3	C23H38O3	362.28209508345003
3a,7a,12a-delta-22-cholic_acid	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)/C=C/C(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)/C=C/C(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	C24H38O5	C24H38O5	406.27192432259
3a,delta-22-cholic_acid	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)/C=C/C(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)/C=C/C(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1	C24H38O3	C24H38O3	374.28209508345003
c22-3a,12a-cholic_acid	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)C(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)C(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1	C22H36O4	C22H36O4	364.26135963856
3a,7k,delta-11-cholic_acid	O[C@@H](C[C@@](C1)2[H])CC[C@]2(C)[C@@]3([H])C=C[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])C1=O	O[C@@H](C[C@@](C1)2[H])CC[C@]2(C)[C@@]3([H])C=C[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])C1=O	C24H36O4	C24H36O4	388.26135963856
methylcholate	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(OC)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(OC)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	C25H42O5	C25H42O5	422.30322445151
3-alpha-7-alpha-12-alpha-7-beta me	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@](O)(C)C[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@](O)(C)C[C@@]([H])2C1	C25H42O5	C25H42O5	422.30322445151
12-alpha	[H][C@@]12CCCC[C@]1(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])CC2	[H][C@@]12CCCC[C@]1(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])CC2	C24H40O3	C24H40O3	376.29774514791
3a7b12k	O[C@@H](C[C@@](C[C@@H]([C@@]1([H])[C@]2([H])CC[C@@H]([C@]23C)[C@H](C)CCC(O)=O)O)4[H])CC[C@]4(C)[C@@]1([H])CC3=O	O[C@@H](C[C@@](C[C@@H]([C@@]1([H])[C@]2([H])CC[C@@H]([C@]23C)[C@H](C)CCC(O)=O)O)4[H])CC[C@]4(C)[C@@]1([H])CC3=O	C24H38O5	C24H38O5	406.27192432259
c-22-3-alpha-7-alpha	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)C(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)C(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	C22H36O4	C22H36O4	364.26135963856
c-25-homo-3-alpha-7-alpha-12-alpha	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	C25H42O5	C25H42O5	422.30322445151
3a 12a delta 8-14	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])C=C[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])C=C[C@@]([H])2C1	C24H38O4	C24H38O4	390.27700970302
c22 bisnor 3alpha-7alpha-12alpha	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)C(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)C(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	C22H36O5	C22H36O5	380.25627425813
